gene_id,median_normal,median_tumor,shapiro_norm_pval,shapiro_tumor_pval,conj_shapiro,mannwhitney_pval,medians_equal_mw,wilcoxon_pval,medians_equal_wilcoxon,conj_tests
0,0.0112,0.1286,5.466923654294512e-51,2.709821146152092e-27,False,2.7648191719621005e-87,False,,False,False
1,11.36,3.7981,2.5107755705088288e-24,2.4129578626376207e-10,False,4.5379976816411725e-52,False,,False,False
2,1.636,22.0275,1.0438062605168692e-46,4.047701305472023e-06,False,7.631712336248576e-103,False,,False,False
3,0.0,0.0,1.0911180067155328e-61,2.0235748722084232e-19,False,3.198114516228516e-13,False,,False,False
4,0.0966,0.5256,7.914445514912313e-46,1.751378037852905e-27,False,1.0105094511304818e-80,False,,False,False
5,0.1338,2.2744,1.0901643244242046e-48,1.284587946441581e-16,False,8.289873724971395e-103,False,,False,False
6,0.0,0.0694,1.3844095599901052e-71,2.4362833618005297e-16,False,1.4572583518201454e-223,False,,False,False
7,0.0,0.329,1.7422755726707223e-64,3.475983898169641e-23,False,1.9009024244994824e-177,False,,False,False
8,0.3711,1.9785,2.317899503336278e-37,2.1938957695228328e-16,False,2.0095383710166145e-87,False,,False,False
9,0.0,0.0774,1.2629108975487651e-68,1.8804478873246576e-16,False,1.1893208457513957e-99,False,,False,False
10,0.0,1.9151,3.793542954873954e-52,5.44913187009907e-18,False,4.97966456195731e-118,False,,False,False
11,6.358,1.3175,2.998988549051193e-43,2.9311690111157206e-14,False,2.426196327922669e-68,False,,False,False
12,1.67,2.8887,6.823521399443022e-40,1.8871403089476477e-07,False,6.459074185933966e-23,False,,False,False
13,0.0207,0.8104,9.17163220675598e-49,3.047212547905789e-12,False,2.50200079167335e-112,False,,False,False
14,0.5443,8.6415,9.057831373857294e-42,5.248787464085838e-20,False,8.004925825241704e-105,False,,False,False
15,0.0214,0.2809,4.492774438445521e-53,2.815190606008426e-26,False,3.193560873052803e-100,False,,False,False
16,0.0613,0.3504,2.343900001209828e-46,1.237402914137243e-25,False,4.417551026963829e-60,False,,False,False
17,1.021,5.5345,1.3419553177742966e-30,0.0015123178552418342,False,1.4686583708747987e-99,False,,False,False
18,4.804,64.1422,9.349059624786364e-44,6.754527498676442e-10,False,2.31973421897687e-86,False,,False,False
19,1.758,1.5986,1.8570517979427237e-27,2.2671803122464913e-14,False,0.18258240468275067,True,,False,False
20,0.479,13.7645,8.207528502538891e-38,2.874513668747481e-10,False,7.587026110567838e-105,False,,False,False
21,0.1766,11.0879,2.0608909569487684e-50,1.5268890481769158e-06,False,6.409029670474469e-105,False,,False,False
22,0.0135,0.056,4.0479778617993226e-52,1.032026177852171e-18,False,4.5847794728332114e-20,False,,False,False
23,0.0125,0.8526,4.180523702789337e-54,1.8424301276634788e-23,False,3.289909649382816e-108,False,,False,False
24,0.285,1.8834,7.220224876445653e-52,1.7064835771159115e-25,False,4.5514464824781534e-85,False,,False,False
25,0.5504,5.8119,3.6522608275058285e-48,5.579735812293474e-26,False,1.2047398295518296e-67,False,,False,False
26,0.0,2.4625,3.495281007970137e-57,5.944164476617804e-08,False,5.1276003933400446e-141,False,,False,False
27,0.0,0.0,8.57904729516918e-56,3.0083924770859266e-19,False,0.06565650325110035,True,,False,False
28,0.0414,1.0458,6.002930776536745e-51,2.16371132014671e-24,False,6.13233062174387e-111,False,,False,False
29,0.2402,1.6674,4.6934986572889747e-38,7.302375216262354e-15,False,2.342742753339993e-96,False,,False,False
30,0.0,0.1455,2.3776249393391357e-56,9.082079104911457e-27,False,4.4022467721135306e-37,False,,False,False
31,0.1708,0.4499,1.634232820325448e-36,6.81562859942858e-16,False,2.228992885093097e-38,False,,False,False
32,0.1479,0.2937,3.6666689738741824e-59,2.5816984201578682e-25,False,1.3026511388899061e-20,False,,False,False
33,0.5534,5.5316,2.887925776680122e-27,1.1253208898149275e-14,False,1.7597796115331333e-103,False,,False,False
34,0.0402,3.6549,6.497586185600307e-50,2.585457649740871e-10,False,1.5841433087029095e-105,False,,False,False
35,0.0925,3.8873,4.486109838179739e-51,1.7267119479403143e-18,False,8.046186420817714e-106,False,,False,False
36,0.0,1.5737,2.3204540984411166e-55,2.507175666620405e-15,False,6.975271281770939e-130,False,,False,False
37,0.2289,1.666,1.2984890523762337e-48,4.93163978980013e-13,False,8.525282518704913e-88,False,,False,False
38,0.0385,0.1321,9.110923317195469e-51,2.0450890425752204e-27,False,3.272573506606748e-08,False,,False,False
39,0.065,1.1087,3.3761459459514247e-43,3.0825687932753484e-21,False,6.71103035833714e-105,False,,False,False
40,0.1504,0.4824,1.109067693475313e-46,1.6151324677505214e-18,False,2.8636071587876477e-39,False,,False,False
41,0.0838,2.3097,8.681425644878758e-42,2.5183425102726124e-16,False,6.3940446665113155e-106,False,,False,False
42,0.1624,0.8107,3.874617387005929e-38,4.8335034658041015e-05,False,2.6701214334968413e-84,False,,False,False
43,0.019,0.3677,2.1320010442635768e-52,1.6233410505619756e-19,False,8.188893826366627e-98,False,,False,False
44,0.0804,2.7026,3.2431351605591893e-47,4.801035746943793e-15,False,8.927367656273225e-106,False,,False,False
45,0.248,0.8654,1.5311030017666312e-39,1.7455843000454977e-23,False,3.114926780246233e-64,False,,False,False
46,0.0,0.1699,3.5491647442327056e-71,2.2989249332709598e-23,False,4.025736803970306e-113,False,,False,False
47,5.679,7.0942,3.042480762534302e-38,1.0218527949765665e-11,False,0.014218486630847644,False,,False,False
48,0.0604,2.7437,1.6014244537399365e-47,9.473624635488677e-08,False,1.2069805740752348e-105,False,,False,False
49,0.173,2.7975,5.327438844020871e-43,6.258933699067391e-09,False,1.1982267960798594e-104,False,,False,False
50,0.3277,1.3911,4.179549505287658e-45,1.3172585071513133e-09,False,4.341576320207183e-77,False,,False,False
51,0.0426,1.5704,8.629226475936215e-50,9.125237536040779e-06,False,3.850936797504757e-109,False,,False,False
52,0.0356,0.205,1.1024201219821736e-48,1.285699789924995e-21,False,2.1595191470824903e-33,False,,False,False
53,0.5032,0.0,1.2783674926422018e-43,1.0,False,2.7269373733231554e-104,False,,False,False
54,1.213,0.0,1.1751121828994942e-36,1.0,False,1.7171221711247358e-104,False,,False,False
55,0.1432,3.3874,1.4265764062143288e-40,9.121260996783458e-10,False,2.428591411488337e-105,False,,False,False
56,0.0124,0.7407,5.443441646509751e-56,1.5027783147585973e-12,False,6.438984118157447e-113,False,,False,False
57,0.044,1.2346,2.2071384324311515e-60,1.3913533242187734e-16,False,3.265568032582678e-107,False,,False,False
58,0.0469,1.6035,1.837448486618038e-50,6.1080053342578e-06,False,4.192063622686945e-107,False,,False,False
59,4.558,0.0808,1.3041212420363357e-37,2.45045005421717e-12,False,1.42785040153616e-104,False,,False,False
60,0.1907,5.4091,2.722530803157703e-40,2.1988849013625804e-14,False,5.791649058082302e-105,False,,False,False
61,0.3768,2.2589,1.2983598281816882e-35,6.595816598933248e-25,False,1.7652427441628658e-87,False,,False,False
62,0.0,0.7781,5.464301722660937e-52,3.6993149774340056e-17,False,1.4398447370237465e-115,False,,False,False
63,0.0985,0.9298,4.931417698849533e-45,0.0001930531758888494,False,8.220422405666164e-85,False,,False,False
64,0.0067,0.0904,7.965088922402857e-60,2.755104263394437e-15,False,4.504879720121889e-81,False,,False,False
65,0.0,1.0498,3.492137022021858e-55,5.440038555880899e-21,False,3.1864731244890845e-138,False,,False,False
66,0.014,0.589,2.9403814841084734e-50,4.106911221427165e-18,False,1.4695591214146928e-113,False,,False,False
67,1.756,9.5665,3.977316076848564e-39,2.820434318552039e-20,False,1.3939320199753313e-65,False,,False,False
68,0.0,0.6666,2.5578632189062626e-56,1.1648810658535929e-18,False,4.305956675397202e-109,False,,False,False
69,0.0766,1.8985,3.695677784166321e-41,9.78970506730295e-08,False,6.108091939565041e-105,False,,False,False
70,0.0,0.0,1.1568119947073105e-55,1.0,False,1.5685926322226518e-19,False,,False,False
71,0.4093,0.2786,2.519146043330419e-36,1.9518570100904369e-25,False,4.83617984778015e-07,False,,False,False
72,0.3607,0.1044,1.4035643781146073e-39,6.321267794553218e-17,False,2.281818976789032e-34,False,,False,False
73,0.6408,1.6371,5.91069233069019e-41,5.553359787898883e-18,False,1.451249015881991e-41,False,,False,False
74,0.2092,0.9079,2.0114814411634974e-36,1.1672614690774079e-17,False,9.009099474757484e-74,False,,False,False
75,0.009,0.0581,7.0563214243788e-55,4.977074490397435e-26,False,4.221238809558663e-38,False,,False,False
76,0.0242,1.8321,9.429792296931452e-55,3.8299662484890603e-10,False,2.192393184590094e-106,False,,False,False
